"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Marshall Islands",584,"Surface water: leaving the country to other countries (total)",4171,2002,0.0,"","","6043"
"Marshall Islands",584,"Surface water: leaving the country to other countries (total)",4171,2007,0.0,"","","6043"
"Marshall Islands",584,"Surface water: leaving the country to other countries (total)",4171,2012,0.0,"","","6043"
"Marshall Islands",584,"Surface water: leaving the country to other countries (total)",4171,2017,0.0,"","","6433"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,1962,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,1967,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,1972,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,1977,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,1982,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,1987,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,1992,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,1997,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,2002,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,2007,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,2012,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries not submitted to treaties",4172,2017,0.0,"","","6433"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,1962,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,1967,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,1972,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,1977,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,1982,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,1987,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,1992,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,1997,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,2002,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,2007,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,2012,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries submitted to treaties",4173,2017,0.0,"","","6433"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,1962,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,1967,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,1972,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,1977,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,1982,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,1987,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,1992,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,1997,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,2002,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,2007,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,2012,0.0,"","","6043"
"Marshall Islands",584,"Surface water: outflow to other countries secured through treaties",4174,2017,0.0,"","","6433"
"Marshall Islands",584,"Surface water: total external renewable",4176,1962,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,1967,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,1972,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,1977,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,1982,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,1987,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,1992,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,1997,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,2002,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,2007,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,2012,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,2017,0.0,"E","","0"
"Marshall Islands",584,"Surface water: total external renewable",4176,2018,0.0,"E","","0"
"Mauritania",478,"Surface water: entering the country (total)",4159,1962,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,1967,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,1972,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,1977,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,1982,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,1987,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,1992,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,1997,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,2002,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,2007,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,2012,0.0,"","","1574"
"Mauritania",478,"Surface water: entering the country (total)",4159,2017,0.0,"","","6433"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,1962,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,1967,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,1972,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,1977,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,1982,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,1987,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,1992,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,1997,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,2002,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,2007,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,2012,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow not submitted to treaties",4160,2017,0.0,"","","6433"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,1962,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,1967,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,1972,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,1977,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,1982,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,1987,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,1992,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,1997,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,2002,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,2007,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,2012,0.0,"","","1574"
"Mauritania",478,"Surface water: inflow submitted to treaties",4161,2017,0.0,"","","6433"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,1962,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,1967,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,1972,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,1977,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,1982,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,1987,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,1992,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,1997,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,2002,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,2007,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,2012,0.0,"","","771"
"Mauritania",478,"Surface water: inflow secured through treaties",4162,2017,0.0,"","","6433"
"Mauritania",478,"Surface water: total flow of border rivers",4165,1962,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,1967,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,1972,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,1977,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,1982,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,1987,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,1992,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,1997,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,2002,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,2007,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,2012,22.0,"","","1574"
"Mauritania",478,"Surface water: total flow of border rivers",4165,2017,22.0,"","","6433"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,1962,11.0,"","[1212]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,1967,11.0,"","[1213]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,1972,11.0,"","[1214]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,1977,11.0,"","[1215]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,1982,11.0,"","[1216]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,1987,11.0,"","[1217]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,1992,11.0,"","[1218]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,1997,11.0,"","[1219]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,2002,11.0,"","[1220]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,2007,11.0,"","[1221]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,2012,11.0,"","[1222]","1574"
"Mauritania",478,"Surface water: accounted flow of border rivers",4168,2017,11.0,"","","6433"
"Mauritania",478,"Surface water: accounted inflow",4164,1962,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,1967,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,1972,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,1977,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,1982,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,1987,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,1992,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,1997,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,2002,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,2007,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,2012,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,2017,11.0,"E","","0"
"Mauritania",478,"Surface water: accounted inflow",4164,2018,11.0,"E","","0"
"Mauritania",478,"Surface water: leaving the country to other countries (total)",4171,1962,0.0,"","","1574"
"Mauritania",478,"Surface water: leaving the country to other countries (total)",4171,1967,0.0,"","","1574"
"Mauritania",478,"Surface water: leaving the country to other countries (total)",4171,1972,0.0,"","","1574"
"Mauritania",478,"Surface water: leaving the country to other countries (total)",4171,1977,0.0,"","","1574"
"Mauritania",478,"Surface water: leaving the country to other countries (total)",4171,1982,0.0,"","","1574"
